"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","cis","cis_trans","trans","total_cis","total_cis_trans","total_trans","cis_in_gc","cis_trans_in_gc","trans_in_gc"
"Endometrial Carcinoma","40/840",0.000228303168069316,0.0536403729168574,0,0,1.92119341563786,16.1088919598221,"DDR1;CSF1R;SLC22A3;IL1RN;FEN1;GSTP1;TSHZ1;SEMA3B;PTEN;TWIST1;XPC;HPR;COMT;CYP3A7;HYAL1;DDT;PDGFD;CHEK2;PGPEP1;SH2B3;IL6R;PRMT5;CDKN2B;ABCC1;TGFB1;IGFBP3;LNPEP;SIRT6;SDHB;MLH3;IGF2R;PPIA","ADM;LPP;LEPR;KDR;PAWR;FGFR4","HSF1;SOX9",32,6,2,8,2,0
"Body Height","20/314",0.000264349151884713,0.0567046851574895,0,0,2.5785808394504,21.2429672567695,"SLC23A3;MYH7B;SLC22A5;TMED10;PHF20;PTPRJ;SPTY2D1;FER;RYBP;SERPINH1;PDE3A;UHRF1BP1;GIT1","LINC01184;MIR3936HG;PCCB;CDK5RAP1;FGFR4","BAG1;LCORL",13,5,2,4,0,0
"Squamous cell carcinoma","74/1876",0.000267327041851452,0.0567046851574895,0,0,1.60555135395283,13.2089316358856,"IL1RN;TEX41;MCM7;PTEN;TCF21;N4BP2L1;COMT;LIPA;SMG6;UFL1;ALDH2;HYAL1;CHEK2;DAG1;POLI;IL6R;MAP2K1;ABCC1;PTGIS;IGFBP3;HLA-C;SIRT6;CFDP1;SPINT1;ADAM15;PADI2;UMPS;PPIA;ENG;DGKH;PHLPP2;SLC22A3;CRABP2;UBA7;GSTP1;SEMA3B;SLC22A1;TWIST1;XPC;FURIN;NT5C2;ABO;MAPK9;SPAG9;CDKN2B;TGFB1;SYT1;CMA1;AP4B1;IGF2R;PRRC2A;SMARCA4;FKBP1A;BCAR1","ADM;VSIR;FCGR3B;LEPR;KDR;NEIL2;CTTN;BECN1;LPP;YY1AP1;CCT6A;TPP2;FGFR4","SOX9;ARHGEF12;EBF3;BAG1;HSF1;SLC12A2;TXNRD1",54,13,7,16,2,1
"Fibrinogen assay","7/49",0.000275823357069264,0.0567046851574895,0,0,6.24020552344252,51.1431638431572,"RAB5C;SLC22A5;LIPA;IL6R;SH2B3","MIR3936HG;PCCB","",5,2,0,4,0,0
"Cerebrovascular accident","37/768",0.00031296124825911,0.061766031956418,0,0,1.9400574611354,15.6551601728593,"DCTN5;IL1RN;GIPR;ITGB3;LPL;CRIP3;UBE2Z;ABO;SLC8A1;EDNRA;SH3PXD2A;ALDH2;PDGFD;SH2B3;IL6R;CDKN2B;GUCY1A1;TGFB1;SYT1;IGFBP3;ATP2B1;PRRC2A;SMARCA4;LRCH1;GGCX;PDE3A;ENG","ADM;KDR;POLG;PAWR;TPP2;KCNK3","PHACTR1;SLC12A2;TXNRD1;ANK2",27,6,4,15,1,1
"Beta-2-microglobulin measurement","3/6",0.000340950294455903,0.0638557975771863,0,0,37.2294455066922,297.231473686039,"HLA-B;HLA-C;SH2B3","","",3,0,0,1,0,0
"Carcinoma of lung","92/2476",0.000357490191023624,0.0638557975771863,0,0,1.51961618161012,12.0602858662519,"DDR1;IL1RN;FEN1;PHF20;IRS1;ITGB3;PTEN;COMT;TENT4A;FADS2;UFL1;EDNRA;IPO9;ALDH2;HYAL1;DPYSL2;CHEK2;NINL;IL6R;ADAMTS7;RBM6;TCF19;PRMT5;MAP2K1;LYNX1;ABCC1;DDX59;PTGIS;IGFBP3;HLA-B;HLA-C;SIRT6;PGF;PSRC1;ADAM15;CANX;LINC00963;PPIA;ENG;PHLPP2;CSF1R;SLC22A3;CDC123;CRABP2;UBA7;GSTP1;SEMA3B;FUT11;TWIST1;XPC;AK4;HPR;HMGCR;ABO;MYL12A;BAG6;MAPK9;ATG7;SH2B3;ABCF1;SPAG9;CDKN2B;TGFB1;SYT1;CMA1;SUSD2;SPRY4;IGF2R;PRRC2A;SMARCA4;WEE1;RYBP;FES;SCD;BCAR1","ADM;ARHGAP5;PLB1;LEPR;KDR;PRKCB;PAWR;AZGP1;NEIL2;BECN1;LPP;YY1AP1;FGFR4","SOX9;BAG1;HSF1;TXNRD1",75,13,4,17,2,0
"Cerebral Hemorrhage","8/67",0.000362375827353307,0.0638557975771863,0,0,5.08212813297559,40.2648305659158,"IL1RN;ITGB3;IGFBP3;SDHB;SH2B3;HMOX2;ENG","KDR","",7,1,0,1,0,0
"Colonic Neoplasms","37/778",0.000400107775996708,0.0680735091988883,0,0,1.91285473397194,14.9657481205391,"IL1RN;IRS1;SLC22A1;PTEN;LPL;COMT;NT5C2;MAPK9;EFEMP2;ATXN2;MAT2A;CHEK2;DAG1;TCF19;GUCY1A1;ABCC1;TGFB1;SYT1;IGFBP3;ITGA1;HLA-C;RUNX2;SCD;PLCB1;UMPS;BCAR1;ENG;METAP2","BECN1;ADM;PLB1;KDR;PAWR;FGFR4","BAG1;HSF1;SOX9",28,6,3,8,1,0
"Malignant Peripheral Nerve Sheath Tumor","14/188",0.000470538976251236,0.0773879769607867,0,0,3.03295617816092,23.2373933882723,"CSF1R;MAP2K1;ABCC1;CDKN2B;CRABP2;SYT1;PTEN;TWIST1;COPRS;SH3PXD2A","ADM;KDR","HSF1;SOX9",10,2,2,0,0,0
"Rheumatic Heart Disease","6/41",0.000661424683198192,0.105273206029028,0,0,6.40846153846154,46.9170802977427,"IL1RN;TGFB1;IGFBP3;HLA-B;PGPEP1;ABO","","",6,0,0,3,0,0
"Systemic arterial pressure","8/76",0.000852726309655795,0.115922603681516,0,0,4.407449466273,31.1477623538271,"BAG6;ATXN2;FES;POC1B;ATP2B1;NT5C2;SH2B3","","PHACTR1",7,0,1,6,0,1
"Blood Pressure","8/76",0.000852726309655795,0.115922603681516,0,0,4.407449466273,31.1477623538271,"BAG6;ATXN2;FES;POC1B;ATP2B1;NT5C2;SH2B3","","PHACTR1",7,0,1,6,0,1
"Blood pressure finding","8/76",0.000852726309655795,0.115922603681516,0,0,4.407449466273,31.1477623538271,"BAG6;ATXN2;FES;POC1B;ATP2B1;NT5C2;SH2B3","","PHACTR1",7,0,1,6,0,1
"Body mass index","21/370",0.000855164833101244,0.115922603681516,0,0,2.27878805072484,16.0978517385619,"SLC22A3;GIPR;NRXN2;ATP2B1;COMT;NT5C2;CMIP;SMG6;FER;MRAS;RYBP;ALDH2;RFT1;SERPINH1;UHRF1BP1;PGPEP1;ADAMTS7","HSD17B12;MIR3936HG;KCNK3","LCORL",17,3,1,12,1,0
"Finding of body mass index","21/370",0.000855164833101244,0.115922603681516,0,0,2.27878805072484,16.0978517385619,"SLC22A3;GIPR;NRXN2;ATP2B1;COMT;NT5C2;CMIP;SMG6;FER;MRAS;RYBP;ALDH2;RFT1;SERPINH1;UHRF1BP1;PGPEP1;ADAMTS7","HSD17B12;MIR3936HG;KCNK3","LCORL",17,3,1,12,1,0
"Romano-Ward Syndrome","5/29",0.00086930205436078,0.115922603681516,0,0,7.77751119641715,54.8144982187187,"KCNE2;SCD;NOS1AP","KCNK3","ANK2",3,1,1,0,0,0
"Prostatic Neoplasms","61/1554",0.00108033606402246,0.14027310894439,0,0,1.5799047886553,10.7915129835737,"DDR1;IL1RN;MCM7;IRS1;ITGB3;PTEN;COMT;NPEPPS;EFEMP2;EDNRA;CHAF1A;HYAL1;CHEK2;DAG1;CTSH;IL6R;ABCC1;IGFBP3;SIRT6;PGF;RUNX2;SPINT1;ADAM15;UMPS;ENG;CSF1R;SLC22A3;GSTP1;KMT2C;TWIST1;LPL;ABO;ACAT1;TSPAN8;PDGFD;TGFB1;SYT1;SPRY4;DAB2IP;IGF2R;SMARCA4;FER;SCD;CARM1;TBXAS1;BCAR1","ADM;PLB1;LEPR;KDR;ADAMTS9;PAWR;AZGP1;YY1AP1;FGFR4","THYN1;SOX9;GNG5;BAG1;SLC12A2;SURF4",46,9,6,12,2,0
"Central Serous Chorioretinopathy","9/98",0.00111223827182279,0.140712400850606,0,0,3.79164583921935,25.7884273359548,"SLC22A3;TGFB1;PTEN;TWIST1;ATG7","BECN1;ADM","HSF1;SOX9",5,2,2,2,0,0
"Ovarian Carcinoma","81/2203",0.00114808400773153,0.141616162353685,0,0,1.48843257897468,10.0761836926984,"DDR1;IL1RN;FEN1;PHF20;IRS1;ITGB3;PTEN;TCF21;COMT;NPEPPS;EFEMP2;EDNRA;CHAF1A;ALDH2;HYAL1;CHEK2;HORMAD1;IL6R;GIT1;MAP2K1;ABCC1;IGFBP3;SWAP70;GOLPH3L;PGF;RUNX2;RAD51C;SPINT1;ENG;CSF1R;SLC22A3;GSTP1;KMT2C;SEMA3B;TWIST1;XPC;HPR;ABO;MAPK9;ATXN2;ST3GAL5;SH2B3;CASC15;SPAG9;CDKN2B;TGFB1;SYT1;RYK;C1GALT1;SPRY4;SLC4A11;LNPEP;IGF2R;SMARCA4;NBR2;SCD;CARM1;BCAR1","ADM;TTC28;LEPR;KDR;POLG;NSF;ACOT7;PAWR;NEIL2;CTTN;SPARCL1;BECN1;HSD17B12;IP6K2;YY1AP1;PSMG1;BLMH;FGFR4","BTG1;SOX9;RBX1;HSF1;EIF6",58,18,5,16,4,0
"Prostate carcinoma","109/3145",0.00122616376159072,0.145541840335254,0,0,1.41526462624367,9.48774281882362,"IL1RN;IRS1;COMT;PPP1CB;PREX1;NPEPPS;EFEMP2;EDNRA;CHEK2;DAG1;IL15RA;MAP2K1;IGFBP3;SWAP70;GOLPH3L;HLA-B;HLA-C;PGF;RUNX2;SPINT1;ADAM15;PADI2;PPIA;CSF1R;SLC22A3;TMED10;CRABP2;UBA7;TSHZ1;SLC22A1;TWIST1;LPL;XPC;HPR;ABO;ACAT1;TSPAN8;PDGFD;ATRIP;ATG7;TGFB1;SYT1;IGF2R;SMARCA4;FER;DDR1;RPAIN;FEN1;MCM7;PTEN;TCF21;CHAF1A;HYAL1;CTSH;POLI;GIT1;RBM6;PRMT5;ABCC1;PCDHGA2;SIRT6;PSMA5;MMP16;LINC00963;ENG;CERS2;PHLPP2;CDC123;GSTP1;SYNPO2;SEMA3B;HMGCR;MAPK9;RPL13;SPAG9;CDKN2B;CMA1;DAB2IP;SCD;CARM1;BCAR1","PLB1;LEPR;KDR;AZGP1;SPARCL1;LPP;ARHGAP21;KIF3A;PSMG1;FGFR4;FASTKD2;ADM;POLG;PAWR;CTTN;BECN1;HSD17B12;YY1AP1","JPT1;CCAR2;SOX9;DGKZ;BAG1;BTG1;ARHGEF12;TMSB15B;HSF1;TXNRD1",81,18,10,14,3,1
"Degenerative polyarthritis","42/976",0.00123890500488056,0.145541840335254,0,0,1.72252995204134,11.5298013453088,"DDR1;CSF1R;IL1RN;ITGB3;PTEN;TWIST1;AK4;BAG6;PRTG;EFEMP2;EDNRA;HYAL1;DPYSL2;ST3GAL5;IL6R;ADAMTS7;MAP2K1;TGFB1;SYT1;IGFBP3;LNPEP;SIRT6;PGF;RUNX2;LRCH1;ADAM15;P4HA2;PADI2;B4GALT7;ENG","BECN1;ADM;PLB1;ADAMTS4;SDCBP;LEPR;KDR;ADAMTS9;FGFR4","SOX9;TXNRD1;EBF3",30,9,3,7,1,0
"Alloimmunisation","4/19",0.00133879811646618,0.152529410586716,0,0,9.94074074074074,65.7677717035166,"DDR1;ITGB3;ABO","FCGR3B","",3,1,0,1,0,0
"Schizophrenia","72/1923",0.00137799242634048,0.152529410586716,0,0,1.50990653938697,9.94594704283685,"SLC23A3;DDR1;IL1RN;ITGB3;COMT;HAPLN3;FADS2;EDNRA;SH3PXD2A;ALDH2;DPYSL2;PGPEP1;IL6R;GIT1;MAP2K1;PTGIS;SFMBT1;HLA-B;HLA-C;EPN2;GIGYF1;MMP16;HMBS;NOS1AP;RFT1;FASTKD5;PADI2;ALDOC;PLCB1;PPIA;DGKH;NLGN2;GIPR;GSTP1;KMT2C;TSHZ1;LPL;NRXN2;FURIN;NT5C2;ATXN2;SRR;TSPAN8;RPL13;ABCF1;TGFB1;EDEM2;SPRY4;PRRC2A;SCD;TBXAS1;METAP2","ADM;PLB1;AS3MT;LEPR;KDR;NSF;KREMEN1;PAWR;BECN1;SPHKAP;CCT6A;KYAT3;TPP2;PSMG1","BTG1;DGKZ;C1QA;PCDH12;BAG1;SLC12A2",52,14,6,14,4,0
"Low density lipoprotein cholesterol measurement","17/283",0.00141627287284403,0.152529410586716,0,0,2.41174645848413,15.8203973852379,"CSNK1G3;IRS1;ITGB3;SLC22A1;HPR;HMGCR;SPTY2D1;CARF;ABO;SMARCA4;FADS2;CARM1;NOS1AP;SH2B3;BCAR1","KDR;LEPR","",15,2,0,4,1,0
"Polyp of large intestine","7/64",0.00142204152553485,0.152529410586716,0,0,4.59449683940101,30.1199671713655,"PTGIS;ALDH2;IGFBP3;GSTP1;PTEN;SDHB;ENG","","",7,0,0,1,0,0
"Alzheimer's Disease","73/1982",0.00196217240264731,0.205986353928975,0,0,1.48274641901901,9.24300087584485,"DDR1;IL1RN;IRS1;ITGB3;PTEN;APEH;COMT;LIPA;SLC8A1;NPEPPS;ALDH2;DPYSL2;CHEK2;IL6R;BCAS3;PRMT5;MAP2K1;ABCC1;UTP11;IGFBP3;HLA-B;CFDP1;PLCB1;PPIA;CSF1R;DCTN5;TMED10;GSTP1;TSHZ1;TWIST1;LPL;HMGCR;AIF1;ABO;ACAT1;ATXN2;SRR;MAT2A;RPL13;SH2B3;HMOX2;SPAG9;TGFB1;SYT1;EDEM2;NBEAL1;LNPEP;LYZ;IGF2R;FKBP1A;WEE1;NDUFAF6;FES;SCD;METAP2","ADM;PLB1;FCGR3B;POLG;PRKCB;LINC01184;PAWR;CTTN;BECN1;UBQLN1;COX10;BLMH","PPP1R10;EBF3;BAG1;HSF1;TXNRD1;CLK1",55,12,6,17,1,0
"Osteoarthritis of hip","7/68",0.00202843100866342,0.208505804098861,0,0,4.29233393347863,26.6145851642993,"BAG6;IL1RN;TGFB1;IGFBP3;TWIST1","ADAMTS4","SOX9",5,1,1,2,0,0
"Tumor Progression","76/2090",0.00221700380921568,0.221574943372584,0,0,1.46415094339623,8.94830290001465,"DDR1;IL1RN;FEN1;IRS1;ITGB3;PTEN;TCF21;PREX1;NPEPPS;EFEMP2;EDNRA;CHAF1A;HYAL1;CHEK2;DAG1;CTSH;PGPEP1;IL6R;MAP2K1;IGFBP3;HLA-C;PGF;RUNX2;SPINT1;MMP16;ADAM15;CANX;PADI2;ENG;PHLPP2;SLC22A3;GSTP1;SEMA3B;SLC22A1;TWIST1;XPC;TSPAN8;PDGFD;SERPINH1;SPAG9;CDKN2B;TGFB1;SYT1;CMA1;DAB2IP;SMARCA4;FER;WEE1;SCD;CARM1;BCAR1;METAP2","ADM;PLB1;ADAMTS4;FCGR3B;LEPR;KDR;PRKCB;PAWR;AZGP1;CTTN;SPARCL1;BECN1;SDCBP;ARHGAP21;IP6K2;YY1AP1;FGFR4","BTG1;PPP1R10;SOX9;RBX1;HSF1;RSRC2;EIF6",52,17,7,10,2,0
"Malignant neoplasm of prostate","110/3239",0.00231501812176821,0.221574943372584,0,0,1.38127043538117,8.38201554462545,"IL1RN;IRS1;COMT;PPP1CB;PREX1;NPEPPS;EFEMP2;EDNRA;CHEK2;DAG1;IL15RA;MAP2K1;IGFBP3;SWAP70;HLA-B;HLA-C;PGF;RUNX2;SPINT1;ADAM15;PADI2;PPIA;CSF1R;SLC22A3;TMED10;CRABP2;UBA7;KMT2C;SLC22A1;TWIST1;LPL;XPC;HPR;ABO;ACAT1;TSPAN8;PDGFD;ATRIP;ATG7;TGFB1;SYT1;IGF2R;SMARCA4;FER;TBXAS1;DDR1;RPAIN;FEN1;MCM7;ITGB3;PTEN;TCF21;HYAL1;POLI;GIT1;RBM6;PRMT5;ABCC1;SIRT6;PSMA5;MMP16;LINC00963;UMPS;ENG;CERS2;GSTP1;SYNPO2;SEMA3B;HMGCR;MAPK9;RPL13;SPAG9;CDKN2B;CMA1;DAB2IP;SCD;CARM1;BCAR1","PLB1;LEPR;KDR;AZGP1;SPARCL1;LPP;ARHGAP21;KIF3A;PSMG1;FGFR4;FASTKD2;ADM;POLG;PAWR;CTTN;BECN1;HSD17B12;YY1AP1","JPT1;THYN1;CCAR2;SOX9;DGKZ;BAG1;SURF4;BTG1;ARHGEF12;TMSB15B;GNG5;HSF1;SLC12A2;TXNRD1",78,18,14,15,3,1
"Allergic sensitization","6/52",0.00234819545027502,0.221574943372584,0,0,4.87324414715719,29.503147056136,"FADS2;TGFB1;HYAL1;ITGB3;GSTP1;HLA-B","","",6,0,0,1,0,0
